web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Alexander-Arnold,Liverpool,Defender,24.523809523809522,212.31375422909474,8.4,1.0,1.8,206
Cancelo,Man City,Defender,27.77777777777778,194.23997592524154,7.2,2.0,4.2,200
van Dijk,Liverpool,Defender,26.911764705882355,185.06115645073413,6.8,3.0,4.2,183
Robertson,Liverpool,Defender,24.246575342465754,181.29331009673956,7.3,4.0,4.6,177
Matip,Liverpool,Defender,31.346153846153847,148.68391735435287,5.2,5.0,7.2,163
Laporte,Man City,Defender,26.5,155.57936047013055,6.0,6.0,4.6,159
Dias,Man City,Defender,22.741935483870968,152.86080605424914,6.2,7.0,3.6,141
Cash,Aston Villa,Defender,26.41509433962264,134.63695344718622,5.3,8.0,3.2,140
Rüdiger,Chelsea,Defender,23.114754098360656,145.17137895776258,6.1,9.0,1.7,141
Gabriel,Arsenal,Defender,26.037735849056606,137.16357165387086,5.3,10.0,3.4,138
Coady,Wolves,Defender,28.541666666666668,133.38947732363815,4.8,11.0,2.2,137
Thiago Silva,Chelsea,Defender,22.857142857142858,134.97208637501654,5.6,12.0,2.3,128
Dier,Spurs,Defender,26.80851063829787,120.08120853860413,4.7,13.0,4.6,126
Cucurella,Brighton,Defender,25.30612244897959,119.34051604063225,4.9,14.0,5.5,124
Guéhi,Crystal Palace,Defender,27.333333333333332,120.65148834889679,4.5,15.0,4.8,123
Jansson,Brentford,Defender,26.88888888888889,116.02776540287405,4.5,16.0,5.5,121
Mings,Aston Villa,Defender,23.6,117.87774618900997,5.0,17.0,3.0,118
Andersen,Crystal Palace,Defender,24.46808510638298,107.86227748723864,4.7,18.0,3.6,115
Cresswell,West Ham,Defender,21.11111111111111,117.0893370321982,5.4,19.0,2.2,114
Saïss,Wolves,Defender,22.708333333333336,109.09756484977663,4.8,20.0,0.6,109
Henry,Brentford,Defender,23.555555555555557,98.65187090027258,4.5,21.0,5.0,106
White,Arsenal,Defender,23.260869565217394,106.60143790996476,4.6,22.0,0.0,107
Kilman,Wolves,Defender,23.555555555555557,101.7780825020473,4.5,23.0,0.0,106
Keane,Everton,Defender,22.17391304347826,101.0249485422166,4.6,24.0,3.7,102
Mitchell,Crystal Palace,Defender,22.88888888888889,99.9867935271746,4.5,25.0,0.8,103
Davies,Spurs,Defender,22.0,97.92358137710781,4.5,26.0,3.8,99
Targett,Newcastle,Defender,20.851063829787233,94.58272889525216,4.7,27.0,3.8,98
Bednarek,Southampton,Defender,21.363636363636363,87.17684834982963,4.4,28.0,0.4,94
Burn,Newcastle,Defender,20.454545454545453,88.55971817625142,4.4,29.0,3.2,90
Dunk,Brighton,Defender,18.75,92.99905115804889,4.8,30.0,3.8,90
Pinnock,Brentford,Defender,20.454545454545453,84.07517028039598,4.4,31.0,0.0,90
Dawson,West Ham,Defender,18.163265306122447,90.05533369058037,4.9,32.0,2.2,89
Veltman,Brighton,Defender,20.71428571428571,84.56695096511265,4.2,33.0,3.8,87
Tarkowski,Burnley,Defender,16.93877551020408,85.50566971395374,4.9,34.0,2.2,83
Walker-Peters,Southampton,Defender,17.083333333333336,81.7228925916513,4.8,35.0,1.0,82
Digne,Aston Villa,Defender,15.8,82.73801079507587,5.0,36.0,3.5,79
Coleman,Everton,Defender,16.122448979591837,86.98187989617406,4.9,37.0,2.2,79
Taylor,Burnley,Defender,17.5,77.24292097981663,4.4,38.0,3.7,77
Konsa,Aston Villa,Defender,15.918367346938775,85.13582459376426,4.9,39.0,1.7,78
Llorente,Leeds,Defender,16.666666666666668,76.18015303741272,4.5,40.0,3.4,75
Hanley,Norwich,Defender,16.136363636363637,63.318391352944275,4.4,41.0,1.0,71
Ward,Crystal Palace,Defender,14.88888888888889,65.77182942057948,4.5,42.0,2.4,67
Maguire,Man Utd,Defender,12.407407407407407,74.31942641254952,5.4,43.0,0.2,67
Söyüncü,Leicester,Defender,13.46938775510204,67.85445735585142,4.9,44.0,1.7,66
Lindelöf,Man Utd,Defender,13.541666666666668,65.40903643775941,4.8,45.0,2.0,65
Salisu,Southampton,Defender,12.88888888888889,59.15947486068752,4.5,46.0,0.4,58
Aarons,Norwich,Defender,12.790697674418606,54.93986556822462,4.3,47.0,1.2,55
Ayling,Leeds,Defender,12.790697674418606,55.01886152537946,4.3,48.0,1.0,55
Gibson,Norwich,Defender,12.045454545454545,56.497737107484646,4.4,49.0,0.4,53
Cathcart,Watford,Defender,11.904761904761905,52.64221958855103,4.2,50.0,0.8,50
