web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Kane,Spurs,Forward,15.36,228.82599024018725,12.5,1.0,10.0,192
Ronaldo,Man Utd,Forward,13.032786885245903,197.03820173434661,12.2,2.0,0.0,159
Pukki,Norwich,Forward,23.278688524590166,135.1268831996116,6.1,3.0,2.0,142
Antonio,West Ham,Forward,19.178082191780824,142.89254819369796,7.3,4.0,7.0,140
Toney,Brentford,Forward,20.144927536231883,136.99894431638577,6.9,5.0,1.0,139
Dennis,Watford,Forward,23.10344827586207,126.0651861540715,5.8,6.0,0.0,134
Watkins,Aston Villa,Forward,17.466666666666665,140.48138067462273,7.5,7.0,5.0,131
Richarlison,Everton,Forward,16.447368421052634,138.0602512811306,7.6,8.0,0.0,125
Saint-Maximin,Newcastle,Forward,17.313432835820894,123.89478706655365,6.7,9.0,5.0,116
Jiménez,Wolves,Forward,13.466666666666667,121.96093179550684,7.5,10.0,5.0,101
Wood,Newcastle,Forward,14.444444444444445,95.67276890424388,6.3,11.0,1.0,91
Joelinton,Newcastle,Forward,14.067796610169491,87.01265147440103,5.9,12.0,1.0,83
