web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Alisson,Liverpool,Goalkeeper,28.852459016393443,172.2692529339474,6.1,1.0,3.0,176
Lloris,Spurs,Goalkeeper,28.727272727272727,156.69652628232723,5.5,2.0,6.0,158
Ederson,Man City,Goalkeeper,25.0,163.04973889502693,6.2,3.0,1.0,155
Sá,Wolves,Goalkeeper,28.076923076923077,143.7780604999094,5.2,4.0,1.0,146
Fabianski,West Ham,Goalkeeper,27.2,132.22209215155024,5.0,5.0,2.0,136
Ramsdale,Arsenal,Goalkeeper,26.47058823529412,133.34273651580241,5.1,6.0,2.0,135
de Gea,Man Utd,Goalkeeper,26.4,130.52841098488136,5.0,7.0,2.0,132
Schmeichel,Leicester,Goalkeeper,26.2,127.83527190725928,5.0,8.0,2.0,131
Pope,Burnley,Goalkeeper,24.528301886792455,134.40963812831427,5.3,9.0,2.0,130
Mendy,Chelsea,Goalkeeper,21.311475409836067,150.27722045400222,6.1,10.0,2.0,130
Sánchez,Brighton,Goalkeeper,28.0,122.22509710817661,4.5,11.0,2.0,126
Martínez,Aston Villa,Goalkeeper,23.454545454545453,135.0776324190556,5.5,12.0,0.0,129
Guaita,Crystal Palace,Goalkeeper,25.869565217391305,115.6995967603043,4.6,13.0,10.0,119
Pickford,Everton,Goalkeeper,24.166666666666668,116.72324665474432,4.8,14.0,0.0,116
Meslier,Leeds,Goalkeeper,22.083333333333336,111.66651804402547,4.8,15.0,4.0,106
Dubravka,Newcastle,Goalkeeper,21.818181818181817,93.23848858959899,4.4,16.0,3.0,96
Krul,Norwich,Goalkeeper,20.0,90.10816389546058,4.5,17.0,2.0,90
Foster,Watford,Goalkeeper,19.285714285714285,78.7297379742763,4.2,18.0,0.0,81
