web_name,team,position,value,projection,now_cost,Total rank,form,total_points
Salah,Liverpool,Midfielder,19.770992366412216,254.5223317892345,13.1,1.0,2.0,259
Son,Spurs,Midfielder,21.964285714285715,228.6962901164339,11.2,2.0,9.0,246
Bowen,West Ham,Midfielder,29.565217391304348,185.41820482835735,6.9,3.0,8.5,204
Saka,Arsenal,Midfielder,25.970149253731343,158.08191265921712,6.7,4.0,4.6,174
Jota,Liverpool,Midfielder,20.963855421686745,161.9538532210873,8.3,5.0,3.2,174
Mané,Liverpool,Midfielder,14.745762711864407,197.72020305285494,11.8,6.0,2.6,174
Maddison,Leicester,Midfielder,24.34782608695652,157.37755387709586,6.9,7.0,5.8,168
Mount,Chelsea,Midfielder,21.68831168831169,171.34763404306415,7.7,8.0,3.2,167
Ward-Prowse,Southampton,Midfielder,23.75,145.2278429791225,6.4,9.0,5.2,152
Bernardo,Man City,Midfielder,21.857142857142858,158.36141738224921,7.0,10.0,1.6,153
Fernandes,Man Utd,Midfielder,12.931034482758621,243.36174283714197,11.6,11.0,2.8,150
Trossard,Brighton,Midfielder,23.89830508474576,134.91266771603938,5.9,12.0,8.8,141
Zaha,Crystal Palace,Midfielder,20.434782608695652,149.7463187711068,6.9,13.0,5.2,141
Gallagher,Crystal Palace,Midfielder,22.833333333333332,133.38488181674978,6.0,14.0,2.0,137
Raphinha,Leeds,Midfielder,21.58730158730159,132.26996706594528,6.3,15.0,1.8,136
Ødegaard,Arsenal,Midfielder,21.964285714285715,117.99626600089128,5.6,16.0,1.8,123
Rodrigo,Man City,Midfielder,21.454545454545453,118.572030712348,5.5,17.0,6.4,118
Mbeumo,Brentford,Midfielder,22.5,110.83883109048774,5.2,18.0,2.5,117
Tielemans,Leicester,Midfielder,18.4375,123.8168600413535,6.4,19.0,2.7,118
Fornals,West Ham,Midfielder,19.491525423728813,117.37796082689681,5.9,20.0,3.0,115
Soucek,West Ham,Midfielder,19.82456140350877,115.98226523607995,5.7,21.0,1.2,113
Henderson,Liverpool,Midfielder,22.04081632653061,107.69915399061037,4.9,22.0,2.0,108
McGinn,Aston Villa,Midfielder,19.28571428571429,112.36123755556056,5.6,23.0,4.0,108
Ramsey,Aston Villa,Midfielder,22.76595744680851,102.4295620103965,4.7,24.0,1.3,107
Højbjerg,Spurs,Midfielder,22.083333333333336,105.68727128277365,4.8,25.0,2.6,106
Harrison,Leeds,Midfielder,19.454545454545453,107.26975255171087,5.5,26.0,2.0,107
Jorginho,Chelsea,Midfielder,18.596491228070175,114.3744830215727,5.7,27.0,1.3,106
Gray,Everton,Midfielder,19.25925925925926,105.10365506030578,5.4,28.0,3.2,104
Nørgaard,Brentford,Midfielder,20.2,101.25656748310719,5.0,29.0,3.2,101
Gordon,Everton,Midfielder,21.06382978723404,94.83532047592058,4.7,30.0,2.2,99
Fabinho,Liverpool,Midfielder,17.962962962962962,98.40339268946289,5.4,31.0,1.2,97
Moutinho,Wolves,Midfielder,19.183673469387752,96.09803419831954,4.9,32.0,2.0,94
Rice,West Ham,Midfielder,18.6,94.5599634685284,5.0,33.0,2.0,93
Neves,Wolves,Midfielder,17.884615384615383,94.73873334146245,5.2,34.0,1.4,93
Brownhill,Burnley,Midfielder,20.930232558139537,83.56593485190622,4.3,35.0,4.8,90
James,Leeds,Midfielder,15.166666666666666,99.45242302023657,6.0,36.0,0.2,91
Doucouré,Everton,Midfielder,16.79245283018868,94.00944522303968,5.3,37.0,2.0,89
Romeu,Southampton,Midfielder,19.333333333333332,85.47933099707683,4.5,38.0,3.8,87
Douglas Luiz,Aston Villa,Midfielder,20.232558139534884,84.03636208272393,4.3,39.0,3.0,87
Sissoko,Watford,Midfielder,19.30232558139535,79.96919932732257,4.3,40.0,2.2,83
McNeil,Burnley,Midfielder,14.909090909090908,86.93864161038957,5.5,41.0,2.3,82
Dallas,Leeds,Midfielder,16.3265306122449,81.25733496710014,4.9,42.0,0.8,80
McLean,Norwich,Midfielder,14.081632653061224,68.42148979197312,4.9,43.0,0.4,69
McTominay,Man Utd,Midfielder,12.222222222222221,69.61126757837184,5.4,44.0,2.2,66
Westwood,Burnley,Midfielder,12.115384615384615,64.29934920634923,5.2,45.0,0.0,63
Xhaka,Arsenal,Midfielder,12.083333333333334,60.81926744626664,4.8,46.0,2.6,58
